timestamp_pc,lectura_cruda,voltaje,porcentaje
 2026- 04- 09 11: 44: 04,1087,0.876,26.0
 2026- 04- 09 11: 44: 04,1,0.887,26.0
 2026- 04- 09 11: 44: 04,1087,0.876,26.0
 2026- 04- 09 11: 44: 04,1,0.887,26.0
 2026- 04- 09 11: 44: 04,1087,0.876,26.0
 2026- 04- 09 11: 44: 04,1,0.887,26.0
 2026- 04- 09 11: 44: 04,1087,0.876,26.0
 2026- 04- 09 11: 44: 04,1,0.887,26.0
 2026- 04- 09 11: 44: 04,1087,0.876,26.0
 2026- 04- 09 11: 44: 04,1,0.887,26.0
 2026- 04- 09 11: 44: 04,1087,0.876,26.0
 2026- 04- 09 11: 44: 04,1,0.887,26.0
 2026- 04- 09 11: 44: 04,1087,0.876,26.0
 2026- 04- 09 11: 44: 04,1123,0.905,27.0
 2026- 04- 09 11: 44: 04,1133,0.913,27.0
 2026- 04- 09 11: 44: 04,1055,0.85,25.0
 2026- 04- 09 11: 44: 04,1074,0.865,26.0
 2026- 04- 09 11: 44: 04,1118,0.901,27.0
 2026- 04- 09 11: 44: 05,1168,0.941,28.0
 2026- 04- 09 11: 44: 05,1008,0.812,24.0
 2026- 04- 09 11: 44: 06,1224,0.986,29.0
 2026- 04- 09 11: 44: 06,442,0.356,10.0
 2026- 04- 09 11: 44: 07,0,0.0,0.0
 2026- 04- 09 11: 44: 07,285,0.23,6.0
 2026- 04- 09 11: 44: 08,1114,0.898,27.0
 2026- 04- 09 11: 44: 08,1840,1.483,44.0
 2026- 04- 09 11: 44: 09,1114,0.898,27.0
 2026- 04- 09 11: 44: 09,1136,0.915,27.0
 2026- 04- 09 11: 44: 10,1792,1.444,43.0
 2026- 04- 09 11: 44: 10,852,0.687,20.0
 2026- 04- 09 11: 44: 11,931,0.75,22.0
 2026- 04- 09 11: 44: 11,1327,1.069,32.0
 2026- 04- 09 11: 44: 12,1374,1.107,33.0
 2026- 04- 09 11: 44: 12,1456,1.173,35.0
 2026- 04- 09 12: 02: 04,0,0.0,0.0
 2026- 04- 09 12: 02: 04,0,0.0,0.0
 2026- 04- 09 12: 02: 04,0,0.0,0.0
 2026- 04- 09 12: 02: 04,0,0.0,0.0
 2026- 04- 09 12: 02: 04,0,0.0,0.0
 2026- 04- 09 12: 02: 04,0,0.0,0.0
 2026- 04- 09 12: 02: 04,0,0.0,0.0
 2026- 04- 09 12: 02: 04,0,0.0,0.0
 2026- 04- 09 12: 02: 04,0,0.0,0.0
 2026- 04- 09 12: 02: 04,0,0.0,0.0
 2026- 04- 09 12: 02: 04,0,0.0,0.0
 2026- 04- 09 12: 02: 04,0,0.0,0.0
 2026- 04- 09 12: 02: 04,0,0.0,0.0
 2026- 04- 09 12: 02: 04,0,0.0,0.0
 2026- 04- 09 12: 02: 04,0,0.0,0.0
